zip_code,y_2016,y_2015,y_2014,y_2013,y_2012,y_2011,y_2010,aggregate,average
11201,60061,58350,56488,54668,52242,51356,51128,384293,54899
11203,75920,75887,77011,79572,80202,80337,76174,545103,77871.85714
11204,79332,80486,80349,80963,80341,78690,78134,558295,79756.42857
11205,44818,43224,43320,43002,40125,38997,40366,293852,41978.85714
11206,86486,84806,83180,81525,80086,79674,81677,577434,82490.57143
11207,93251,94657,93465,92491,92054,89676,93386,648980,92711.42857
11208,95715,93847,92262,93107,93998,93447,94469,656845,93835
11209,67822,70803,72582,72623,72434,71704,68853,496821,70974.42857
11210,68435,67432,67042,65302,64041,64508,62008,458768,65538.28571
11211,99964,97772,94681,93271,90510,90522,90117,656837,93833.85714
11212,86469,88668,87751,84520,81267,80311,84500,593486,84783.71429
11213,65434,64603,62756,62059,61495,62231,63767,442345,63192.14286
11214,91728,91295,88297,83156,81428,78326,88630,602860,86122.85714
11215,69965,70818,70156,68891,67195,65477,63488,475990,67998.57143
11216,55816,53747,54440,53783,53662,53065,54316,378829,54118.42857
11217,38670,38511,38567,38787,38398,38992,35881,267806,38258
11218,74831,75691,75132,74758,74571,76811,75220,527014,75287.71429
11219,96287,97670,98719,96971,95069,94083,92221,671020,95860
11220,101006,102325,101715,103089,100476,99540,99598,707749,101107
11221,84034,83372,83773,81321,80254,77041,78895,568690,81241.42857
11222,35695,35163,34580,34186,33718,33482,36934,243758,34822.57143
11223,79730,79385,76651,74606,74700,73208,78731,537011,76715.85714
11224,43444,43001,42698,42535,44047,45092,47621,308438,44062.57143
11225,60323,60180,59613,59182,60179,58987,56829,415293,59327.57143
11226,101787,99026,98299,98325,99285,99422,101572,697716,99673.71429
11228,46164,47190,46059,43929,43396,42585,41788,311111,44444.42857
11229,82914,81732,81351,81030,79268,77021,80018,563334,80476.28571
11230,88933,88589,87064,84219,84707,85757,86408,605677,86525.28571
11231,36302,35263,34605,34137,34393,35109,33336,243145,34735
11232,29387,29216,29452,28824,28703,27925,28265,201772,28824.57143
11233,72159,71589,69637,68599,67661,66315,67053,483013,69001.85714
11234,95546,95912,95610,94259,95390,94891,87757,659365,94195
11235,78237,76668,75622,74630,72447,71129,79132,527865,75409.28571
11236,100049,98276,97714,97217,97084,94643,93877,678860,96980
11237,53678,54182,55258,55478,53031,52123,49896,373646,53378
11238,53992,52999,51959,51895,52033,50840,49262,362980,51854.28571
11239,12468,12924,12943,12879,12850,12802,13393,90259,12894.14286
