zip_code,y_2016,y_2015,y_2014,y_2013,y_2012,y_2011,y_2010,aggregate,average
10001,23332,23537,22767,21966,20579,21097,21102,154380,22054.28571
10002,78096,80736,79894,82191,80323,81335,81410,563985,80569.28571
10003,56767,57112,57068,57310,56614,55190,56024,396085,56583.57143
10004,3044,3221,3024,2807,2780,2604,3089,20569,2938.428571
10005,8710,8131,7570,6822,5724,4935,7135,49027,7003.857143
10006,3277,3110,2950,2507,2696,2722,3011,20273,2896.142857
10007,6740,6876,6748,6525,6188,5892,6988,45957,6565.285714
10009,59799,60865,61806,62810,62397,62335,61347,431359,61622.71429
10010,32854,31447,30708,30670,29396,28954,31834,215863,30837.57143
10011,50404,52349,52941,52167,51853,51064,50984,361762,51680.28571
10012,24536,24163,24846,26145,24703,24342,24090,172825,24689.28571
10013,28211,27415,26937,26065,26090,25942,27700,188360,26908.57143
10014,31464,30727,31835,30597,30893,31685,31959,219160,31308.57143
10016,50444,50641,50112,51196,52624,53754,54183,362954,51850.57143
10017,16533,16472,16278,16129,16137,15603,16575,113727,16246.71429
10018,9684,9168,8062,7021,6147,5290,5229,50601,7228.714286
10019,39505,38830,38752,38394,40351,40778,42870,279480,39925.71429
10021,45261,43573,42142,40862,42646,41546,43631,299661,42808.71429
10022,30262,30607,29699,29618,29317,28847,31924,210274,30039.14286
10023,60307,60586,60762,61315,60447,60035,60998,424450,60635.71429
10024,58516,58391,59249,59164,58991,60239,59283,413833,59119
10025,94717,96068,97373,97390,96449,95330,94600,671927,95989.57143
10026,38540,38310,38372,37871,36797,36026,34003,259919,37131.28571
10027,64120,64413,63057,62617,61018,58834,59707,433766,61966.57143
10028,48205,46883,46169,44295,45799,45345,45141,321837,45976.71429
10029,79411,79251,77857,77454,79031,78451,76003,547458,78208.28571
10030,30358,29209,29530,28472,29364,29186,26999,203118,29016.85714
10031,60778,59244,58912,59092,59708,58736,56438,412908,58986.85714
10032,63189,62685,59069,59374,61650,62798,57331,426096,60870.85714
10033,59353,59844,60520,58710,57073,58027,53926,407453,58207.57143
10034,43951,43405,42672,41510,41200,40925,38908,292571,41795.85714
10035,34187,33920,34760,33488,34709,35290,33969,240323,34331.85714
10036,25987,25799,24127,23132,22413,22371,24711,168540,24077.14286
10037,20112,18777,18041,17377,17099,17489,17416,126311,18044.42857
10038,22300,21464,20997,20082,20042,19530,20300,144715,20673.57143
10039,27471,26697,25952,26577,25372,25257,24527,181853,25979
10040,45033,44378,45278,44825,43650,43753,41905,308822,44117.42857
10044,11731,11783,12050,12346,12311,11399,11661,83281,11897.28571
10065,30001,30237,31761,32797,32807,32193,32270,222066,31723.71429
10069,5231,5526,5523,5118,5359,5214,5199,37170,5310
10075,23353,25756,24377,24849,24148,26082,26121,174686,24955.14286
10103,0,0,0,0,0,0,3,3,0.428571429
10110,0,0,1,2,3,4,0,10,1.428571429
10119,0,0,0,0,0,0,92,92,13.14285714
10128,63006,61927,62447,60121,59443,58793,60453,426190,60884.28571
10162,1253,1289,1252,1327,1590,1608,1685,10004,1429.142857
10165,0,0,0,0,0,0,2,2,0.285714286
10170,0,0,0,0,0,0,2,2,0.285714286
10173,0,0,0,0,0,0,2,2,0.285714286
10199,0,0,0,0,0,0,9,9,1.285714286
10280,9845,9552,8817,8685,7610,7741,7853,60103,8586.142857
10282,5635,5730,5903,6217,5507,5027,4783,38802,5543.142857
10301,39519,39209,39367,38885,38851,39367,39706,274904,39272
10302,17758,18286,18043,16811,17090,17128,19088,124204,17743.42857
10303,24562,23933,24348,24537,24933,26274,26337,174924,24989.14286
10304,42054,42244,41864,43084,41845,40934,42193,294218,42031.14286
10305,41533,41795,41471,42006,41309,40085,41749,289948,41421.14286
10306,55031,54939,54888,55902,55692,55710,55909,388071,55438.71429
10307,15275,15098,15006,14829,14418,14363,14096,103085,14726.42857
10308,30347,29766,29805,28939,28782,29014,27357,204010,29144.28571
10309,33459,33185,33382,32646,31943,30706,32519,227840,32548.57143
10310,24250,24394,24719,25227,24454,24473,24962,172479,24639.85714
10312,60951,62032,61105,60081,61136,60318,59304,424927,60703.85714
10314,88585,87600,87524,87276,87921,87662,85510,612078,87439.71429
10451,48289,48188,47818,47069,45931,43550,45713,326558,46651.14286
10452,75288,75559,75252,74931,74520,75150,75371,526071,75153
10453,80516,80081,79002,79793,79143,79376,78309,556220,79460
10454,38938,39012,38751,38089,37850,38523,37337,268500,38357.14286
10455,42779,41609,39951,38576,38114,37699,39665,278393,39770.42857
10456,92712,91868,91737,87723,87796,86121,86547,624504,89214.85714
10457,74010,73763,71015,70282,69411,69144,70496,498121,71160.14286
10458,81698,79974,76276,74859,74911,73436,79492,540646,77235.14286
10459,47972,47778,48269,47977,47000,45261,47308,331565,47366.42857
10460,60266,59512,58676,56084,56011,55462,57311,403322,57617.42857
10461,50255,51820,52435,51730,51599,51767,50502,360108,51444
10462,78725,78504,76114,77369,75709,75407,75784,537612,76801.71429
10463,71657,71981,71238,70420,69371,68345,67970,490982,70140.28571
10464,4300,4723,4532,4248,3974,4255,4534,30566,4366.571429
10465,44950,45839,46360,44862,43897,42688,42230,310826,44403.71429
10466,71645,71138,69657,70609,71631,72997,67813,495490,70784.28571
10467,103045,101134,99251,98754,96319,93833,97060,689396,98485.14286
10468,75537,73637,72683,71822,73205,73738,76103,516725,73817.85714
10469,71664,72732,72241,71843,71580,71245,66631,497936,71133.71429
10470,14574,14868,14880,14850,15647,14952,15293,105064,15009.14286
10471,21601,21727,21935,22030,21792,22222,22922,154229,22032.71429
10472,68972,68654,69659,68898,67915,66041,66358,476497,68071
10473,61818,59352,59948,58660,58403,57444,58519,414144,59163.42857
10474,12793,12686,12223,12519,12723,12466,12281,87691,12527.28571
10475,44749,43913,44582,43231,41625,41377,40931,300408,42915.42857
10501,1226,1226,1073,1217,1207,1206,1219,8374,1196.285714
10502,5513,5519,5396,5346,5361,5289,5487,37911,5415.857143
10503,137,168,172,158,263,222,108,1228,175.4285714
10504,7903,7910,7885,7960,8215,7907,7987,55767,7966.714286
10505,905,868,785,638,694,629,851,5370,767.1428571
10506,5963,5453,5303,5448,5158,5340,5790,38455,5493.571429
10507,6859,7004,7039,6801,7006,7287,6408,48404,6914.857143
10509,19419,19218,19605,20209,20148,19931,19507,138037,19719.57143
10510,10423,10428,10391,10166,10671,10336,9988,72403,10343.28571
10511,2263,2236,2349,2260,2354,2427,2246,16135,2305
10512,25076,24845,25467,24778,24960,25079,25590,175795,25113.57143
10514,12688,12741,12915,13256,12604,12469,11946,88619,12659.85714
10516,5486,5474,5327,5223,5205,5214,5289,37218,5316.857143
10517,584,608,756,622,679,474,539,4262,608.8571429
10518,1478,1502,1505,1390,1561,1424,1268,10128,1446.857143
10519,137,207,181,166,126,109,316,1242,177.4285714
10520,12797,12996,13107,13113,13159,13267,12810,91249,13035.57143
10522,11058,11055,11001,10948,10889,10831,10875,76657,10951
10523,9058,8752,8563,8029,7789,7687,7444,57322,8188.857143
10524,4268,4252,4402,4488,4482,4460,4421,30773,4396.142857
10526,1522,1662,1714,1571,1738,1979,1809,11995,1713.571429
10527,836,877,1156,1145,1221,1144,908,7287,1041
10528,13066,12451,12720,12692,13209,13358,12280,89776,12825.14286
10530,12800,13011,12431,11891,11947,11796,12604,86480,12354.28571
10532,5019,4945,4906,5074,5071,5028,4931,34974,4996.285714
10533,7590,7487,7484,7662,7406,7419,7322,52370,7481.428571
10535,685,717,573,796,800,748,555,4874,696.2857143
10536,10775,11022,10725,10719,10840,10204,10739,75024,10717.71429
10537,1541,1842,1952,2242,2239,2463,2416,14695,2099.285714
10538,16718,16841,16803,16673,16699,16972,16597,117303,16757.57143
10541,26371,26850,26355,26643,26647,26328,26339,185533,26504.71429
10543,20643,20516,20250,20157,20040,19922,20135,141663,20237.57143
10545,131,129,135,126,114,111,141,887,126.7142857
10546,1433,1265,1149,1092,1275,1244,1277,8735,1247.857143
10547,7461,7045,6913,7421,7937,8171,7647,52595,7513.571429
10548,3398,3156,3214,3089,2910,3174,3487,22428,3204
10549,16557,16353,16165,15798,15560,15475,16638,112546,16078
10550,37679,37543,37421,36804,36938,36523,37144,260052,37150.28571
10552,19620,19607,20339,20815,20259,20116,19786,140542,20077.42857
10553,10606,10850,10032,9895,10141,10507,10170,72201,10314.42857
10560,4930,4810,4742,4786,4812,4819,4737,33636,4805.142857
10562,31745,31453,31453,31502,31239,31348,31796,220536,31505.14286
10566,23977,23928,23875,23702,23568,23392,23570,166012,23716
10567,20652,20741,20197,20241,20083,19743,19929,141586,20226.57143
10570,12966,12889,12592,12735,12623,12501,12680,88986,12712.28571
10573,38958,38817,38656,38429,38237,38017,38352,269466,38495.14286
10576,4878,4803,4842,4948,4996,5261,5116,34844,4977.714286
