"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"10025","New York","NY","New York, NY","New York",1,,,,,,,,,,,,,2812.5,2925,3125,3000,2995,3000,3000,3000,3195,3200,3000,3142.5,3400,3500,3500,3500,3300,3300,3400,3200,3200,3200,3100,3200,3275,3200,3250,3252.5,3300,3300,3325,3350,3350,3295,3500,3400,3650,3750,3700,3550,3599,3500,3495,3400,3499,3500,3474.5,3400,3500,3650,3600,3500,3650,3795,3500,3600,3500,3500,3400,3500,3547.5,3500,3500,3495,3500,3500,3500,3500,3495,3400,3400,3397.5,3500,3500,3672.5,3525,3575,3500,3500,3500,3585,3525,3500,3500
"60657","Chicago","IL","Chicago, IL","Cook",2,,,,,1595,1566,1600,1600,1600,1695,1675,1600,1695,1700,1700,1695,1675,1600,1600,1600,1650,1695,1700,1695,1795,1800,1820,1800,1795,1750,1650,1700,1700,1800,1795,1775,1800,1825,1900,1850,1800,1800,1795,1725,1750,1750,1775,1770,1750,1795,1775,1750,1795,1795,1750,1800,1795,1800,1820,1825,1800,1800,1800,1800,1850,1850,1895,1895,1850,1900,1900,1850,1895,1875,1800,1800,1900,1950,1975,1900,1935,1950,1932.5,1925,1895,1850,1850,1800,1850,1900,1950,1950,1950,1925,1955,1905
"10023","New York","NY","New York, NY","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,5200,5095,5100,5000,5195,4950,5000,5372.5,5200,5000,4950,5000,5079,4900,4950,5000,5000,5000,5000,4925,5000,4900,4600,4950,4900,4800,4881.5,4785.5,4800,4900,4885,4900,4961.5,4950,4900,4850,5000,5100,5012.5,4950,5110,5300,4950,4800,4912.5,4975,5000,5000
"60614","Chicago","IL","Chicago, IL","Cook",4,,,,,,1700,1700,1650,1655,1725,1780,1800,1815,1900,1900,1950,1950,1875,1800,1857.5,1895,2000,2045,2275,2300,2400,2300,2350,2200,2100,1860,1975,2000,1995,1962.5,2042.5,2100,2100,2200,2200,2197.5,2100,2075,1995,1899,1977.5,1999,1995,1995,1995,2100,2095,2100,1995,1805,1975,1995,1995,1950,1995,1999,1999,2098.5,2029,2050,2202.5,2185,2055,2000,2050,1990,1995,1999,2100,1962.5,2000,2000,2050,2050,2060,2075,2050,2075,2010,2005,2000,2010,2050,2100,2050,2100,2132.5,2097,2100,2100,2050
"79936","El Paso","TX","El Paso, TX","El Paso",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,765,765,760,769.5,775,795,803,800,845,850,850,851.5,850
"10002","New York","NY","New York, NY","New York",6,,,,,,2595,2595,2600,2675,2750,2725,2850,2850,2995,3100,3300,3200,3000,3100,3000,3095,3095,3000,3070,3100,3195,3100,3099.5,3100,3100,3195,3200,3200,3272.5,3200,3112.5,3100,3099,3100,3100,3100,3100,3100,3150,3200,3235,3195,3200,3200,3137.5,3250,3262.5,3150,3200,3250,3300,3295,3300,3297,3295,3295,3254,3295,3200,3300,3393,3400,3295,3300,3450,3204,3295,3300,3199,3368.5,3199.5,3200,3300,3300,3300,3400,3400,3295,3295,3250,3200,3100,3095,3100,3074.5,3200,3275,3250,3250,3262.5,3371
"60640","Chicago","IL","Chicago, IL","Cook",7,,,,,,1300,1295,1302.5,1305,1395,1305,1325,1350,1350,1310,1350,1395,1395,1350,1395,1395,1400,1450,1495,1495,1477.5,1450,1450,1450,1425,1402.5,1400,1450,1500,1500,1500,1512.5,1495,1475,1475,1495,1475,1495,1495,1500,1500,1525,1550,1555,1499.5,1500,1495,1495,1500,1460,1500,1545,1500,1550,1600,1600,1560,1512.5,1500,1535,1525,1595,1550,1595,1595,1525,1550,1595,1550,1500,1545,1600,1600,1695,1650,1650,1600,1600,1625,1600,1585,1550,1550,1600,1650,1650,1670,1650,1650,1650,1650
"10467","New York","NY","New York, NY","Bronx",8,,,,,,,,,,,,1425,1400,1400,1400,1400,1400,1350,1400,1397.5,1400,1400,1400,1450,1400,1450,1395,1475,1462.5,1400,1450,1450,1460,1500,1500,1500,1490,1475,1450,1450,1450,1450,1450,1450,1475,1400,1450,1450,1450,1430,1475,1500,1500,1500,1500,1500,1500,1500,1530,1500,1500,1515,1500,1500,1500,1550,1550,1600,1575,1583.5,1600,1595,1650,1600,1650,1650,1650,1650,1694,1695,1695,1725,1750,1750,1700,1700,1795,1795,1750,1750,1800,1800,1775,1800,1800,1800
"77084","Houston","TX","Houston, TX","Harris",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,1193,1186,1187,1169,1277,1143,1169,1152,1152,1115,1058,1165,1183,1116,1139,1166.5,1196,1228,1265,1186,1190.5,1240,1191,1145,1247,1321,1304,1316,1333
"94109","San Francisco","CA","San Francisco, CA","San Francisco",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997,3800,4080,4282,4400,4500,4500,4450,4625,4650,4700,4700,4675,4600,4500,4600,4550,4650,4600,4600,4600,4700,4650,4700,4670,4750,4650,4695,4672.5,4800,4800,4800,4775,4750,4650,4662.5,4800,4725,4650,4600,4675,4595,4650,4495,4597.5,4700,4650,4650,4472.5,4450,4400,4322.5,4352.5,4387.5,4400,4495,4500,4375,4195,4325,4437.5,4495,4500,4500,4400,4420,4625,4750
"75070","McKinney","TX","Dallas, TX","Collin",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1300,1300,1325,1266.5,1330,1425,1330,1264,1255,1330,1417.5,1330,1275,1305,1303,1367.5,1403.5,1378,1392,1439,1389.5,1321,1251,1301,1365,1363,1287,1352,1413,1291,1375,1355,1321,1293.5,1322.5,1320,1313,1434.5,1465,1475,1370,1392,1451,1511.5,1493,1439,1380,1395,1399,1356,1357.5,1383,1420,1420,1421
"11226","New York","NY","New York, NY","Kings",12,,,,,,,,,,1575,1550,1550,1550,1500,1500,1562.5,1625,1500,1499,1500,1500,1600,1572.5,1600,1600,1600,1550,1550,1599,1500,1650,1650,1700,1708,1700,1750,1800,1800,1700,1750,1800,1800,1799.5,1800,1800,1850,1900,1900,1900,1900,1875,1850,1899,1899,1899.5,1900,1950,1950,1975,2000,2000,2099,2000,2000,1999,1975,1995,2000,2000,2100,2100,2000,2100,2250,2150,1975,1995,1950,1975,1995,1999,2000,2000,2150,2100,2072.5,2016.5,1995,2075,2100,2100,2100,2100,2154,2215,2300
"77494","Katy","TX","Houston, TX","Fort Bend",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466,1466,1486.5,1482,1443.5,1430.5,1425,1439,1436,1675,1562.5,1450,1547.5,1528,1582,1550,1552.5,1560,1489.5,1437.5,1539,1513,1459.5,1526.5,1600,1604.5,1590,1627.5,1610,1639.5,1634.5,1650,1640,1656,1656,1635,1650,1619,1600
"77449","Katy","TX","Houston, TX","Harris",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.5,1175,1310,1305,1310,1360,1399,1355,1414,1414,1360,1450,1450,1445,1310,1360,1360,1310
"11375","New York","NY","New York, NY","Queens",15,,,,,,,,,,1999,1962.5,1975,1850,1850,2000,1995,2032.5,2100,2025,1950,2000,2000,2100,2195,2162.5,2050,2100,2100,2080,2100,2149,2150,2150,2250,2295,2325,2350,2300,2395,2395,2350,2350,2300,2300,2395,2350,2395,2395,2400,2400,2400,2450,2395,2395,2395,2500,2500,2415,2415,2495,2400,2450,2500,2495,2450,2500,2495,2495,2400,2400,2362.5,2500,2500,2500,2500,2495,2499.5,2500,2500,2500,2400,2450,2400,2400,2400,2395,2395,2397.5,2400,2462.5,2395,2495,2400,2395,2495,2450
"10016","New York","NY","New York, NY","New York",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4611,4595,4517.5,4599,4599.5,4500,4458,4566.5,4700,4500,4497.5,4295,4295,4300,4295,4400,4500,4395,4481,4295,4200,4295,4250,4100,4272.5,4300,4272.5,4200,4200,4200,4250,4250,4250,4295,4200,4121.5,4192.5,4250,4297.5,4200,4295,4347.5,4500,4295,4300,4495,4200,4200,4295
"11235","New York","NY","New York, NY","Kings",17,,,,,,,,,,,,1675,1700,1725,1725,1650,1650,1650,1600,1625,1700,1650,1650,1700,1700,1700,1712.5,1797.5,1800,1800,1825,1795,1800,1800,1800,1850,1800,1800,1800,1825,1850,1800,1800,1800,1800,1850,1895,1900,1900,1900,1900,1900,1900,1900,1900,2000,2100,2200,2000,2050,2200,2200,2150,2195,2100,2050,2025,2050,2100,2172.5,2125,2100,2087.5,2150,2225,2200,2250,2200,2200,2200,2275,2250,2300,2300,2212.5,2225,2250,2250,2250,2200,2200,2200,2200,2290,2250,2250
"60647","Chicago","IL","Chicago, IL","Cook",18,,,,,,,,1385,1350,1385,1350,1325,1350,1250,1250,1250,1300,1300,1225,1250,1350,1385,1350,1350,1495,1495,1300,1300,1295,1350,1395,1395,1350,1425,1400,1495,1495,1400,1400,1375,1450,1472.5,1450,1495,1500,1500,1550,1550,1495,1525,1550,1595,1595,1595,1400,1597.5,1500,1595,1500,1600,1577.5,1550,1600,1600,1625,1625,1650,1675,1675,1700,1695,1600,1600,1600,1550,1572.5,1650,1650,1650,1650,1650,1650,1695,1695,1695,1650,1650,1600,1600,1690,1700,1750,1750,1750,1750,1750
"37211","Nashville","TN","Nashville, TN","Davidson",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.5,1295,1272.5,1250,1230,1117.5,1200,1200,1209.5,1199.5,1258.5,1295,1295,1279.5,1249,1285.5,1265,1284,1287,1262.5,1295,1279,1295,1265,1275,1286,1247
"90250","Hawthorne","CA","Los Angeles, CA","Los Angeles",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1695,1700,1685,1737,1650,1700,1700,1699,1697,1697.5,1700,1650,1795,1850,1895,1795,1750,1827.5
"37013","Nashville","TN","Nashville, TN","Davidson",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,1114,1123,1095,1080,1085,1093,1075,1150,1120,1065,1005,1034,1036,1068,1082,1127.5,1100,1058,1098,1125
