RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
61615,10001,New York,NY,New York,New York,1783,3312,3278,3292,3301,3332,3338,3330,3319,3345,3383,3425,3428,3438,3420,3395,3360,3370,3412,3455,3467,3449,3480,3537,3592,3642,3655,3662,3616,3605,3594,3608,3638,3706,3758,3829,3891,3952,4001,4063,4101,4116,4078,4075,4051,4061,4060,3947,3883,3840,3912,3966,4002,4060,4084,4096,4076,4040,3991,3945,3908,3882,3863,3838,3801,3771,3756,3789,3862,3935,3987,3989,3969,3918,3866,3812,3785,3763,3750,3727,3712
61616,10002,New York,NY,New York,New York,9,3108,3104,3118,3104,3120,3147,3184,3197,3217,3231,3257,3275,3286,3278,3248,3234,3241,3272,3304,3287,3255,3230,3270,3332,3392,3416,3424,3424,3436,3440,3457,3501,3574,3645,3727,3793,3846,3870,3893,3901,3913,3901,3908,3888,3892,3873,3791,3741,3714,3756,3769,3789,3836,3865,3870,3842,3816,3785,3756,3724,3689,3655,3632,3615,3609,3626,3659,3713,3753,3790,3799,3792,3756,3714,3676,3670,3676,3688,3679,3668
61617,10003,New York,NY,New York,New York,45,3362,3300,3298,3305,3329,3338,3344,3346,3372,3410,3442,3442,3440,3418,3392,3359,3382,3440,3508,3506,3468,3487,3556,3630,3685,3701,3708,3652,3640,3633,3654,3701,3783,3878,4009,4128,4238,4284,4351,4383,4402,4344,4330,4323,4353,4345,4209,4110,4036,4083,4160,4219,4295,4312,4307,4269,4218,4170,4127,4086,4054,4021,3990,3958,3936,3933,3972,4053,4129,4192,4207,4197,4155,4115,4080,4051,4013,3974,3936,3917
61618,10004,New York,NY,New York,New York,11051,3539,3543,3585,3582,3596,3610,3607,3621,3627,3661,3689,3686,3702,3638,3599,3571,3601,3649,3664,3677,3649,3653,3667,3695,3725,3769,3817,3834,3819,3769,3763,3807,3903,3953,3997,4066,4120,4154,4159,4193,4228,4205,4191,4180,4228,4261,4249,4246,4253,4317,4376,4392,4411,4419,4420,4376,4324,4301,4309,4307,4291,4257,4228,4212,4204,4202,4213,4235,4253,4278,4275,4255,4212,4170,4142,4102,4067,4031,4007,3991
61619,10005,New York,NY,New York,New York,7139,3344,3334,3364,3361,3387,3397,3409,3435,3458,3481,3507,3523,3551,3516,3494,3468,3470,3485,3502,3529,3523,3528,3529,3535,3530,3531,3567,3596,3610,3575,3588,3630,3723,3767,3822,3839,3859,3870,3885,3908,3918,3937,3945,3970,3996,4018,3907,3830,3785,3854,3899,3914,3927,3934,3948,3964,3973,3977,3972,3958,3939,3917,3897,3872,3852,3840,3850,3881,3912,3938,3942,3929,3903,3874,3848,3820,3798,3782,3773,3768
61620,10006,New York,NY,New York,New York,10704,3052,3044,3068,3081,3089,3096,3119,3167,3191,3231,3255,3277,3272,3254,3244,3241,3237,3229,3232,3244,3255,3249,3245,3253,3267,3270,3280,3289,3303,3297,3278,3265,3269,3300,3348,3399,3437,3461,3473,3485,3514,3553,3602,3642,3639,3616,3547,3529,3509,3523,3521,3521,3531,3543,3556,3565,3580,3597,3603,3594,3570,3512,3451,3393,3371,3365,3371,3392,3414,3432,3443,3441,3430,3407,3386,3365,3349,3341,3339,3345
61623,10009,New York,NY,New York,New York,22,3189,3155,3138,3132,3148,3170,3179,3184,3213,3250,3273,3270,3279,3282,3259,3222,3206,3249,3297,3292,3244,3217,3262,3322,3378,3411,3430,3432,3433,3438,3465,3518,3592,3683,3811,3930,4030,4065,4102,4132,4167,4152,4147,4111,4099,4035,3888,3793,3742,3782,3814,3850,3910,3947,3964,3963,3944,3916,3894,3874,3848,3810,3780,3750,3736,3743,3780,3845,3901,3940,3938,3908,3853,3794,3746,3722,3708,3697,3679,3670
61624,10010,New York,NY,New York,New York,872,3211,3170,3186,3193,3223,3236,3253,3253,3289,3323,3351,3350,3346,3330,3300,3284,3310,3369,3415,3413,3382,3386,3431,3479,3521,3539,3552,3542,3551,3546,3557,3594,3661,3710,3792,3873,3964,4014,4065,4102,4117,4073,4072,4042,4061,4042,3928,3856,3798,3871,3916,3954,3995,4011,4009,3971,3927,3877,3841,3814,3789,3762,3741,3713,3696,3695,3734,3799,3860,3915,3937,3937,3899,3855,3816,3803,3795,3790,3780,3776
61625,10011,New York,NY,New York,New York,26,3453,3390,3362,3381,3427,3457,3443,3428,3429,3451,3469,3466,3474,3459,3440,3407,3427,3480,3525,3527,3489,3543,3611,3677,3719,3757,3777,3729,3696,3700,3731,3791,3880,3990,4175,4342,4477,4519,4592,4606,4600,4486,4469,4496,4572,4614,4471,4414,4369,4465,4582,4669,4728,4691,4655,4625,4579,4513,4443,4377,4311,4269,4231,4198,4167,4156,4192,4268,4345,4415,4433,4413,4351,4287,4237,4191,4144,4097,4059,4035
61628,10014,New York,NY,New York,New York,536,3497,3422,3387,3391,3431,3461,3458,3464,3461,3479,3477,3470,3497,3504,3517,3495,3516,3568,3605,3612,3558,3592,3647,3716,3750,3773,3792,3773,3770,3791,3828,3884,3965,4082,4250,4408,4504,4521,4554,4558,4569,4478,4457,4472,4534,4585,4484,4458,4409,4497,4601,4677,4721,4698,4695,4683,4645,4588,4533,4486,4438,4391,4341,4289,4250,4238,4263,4326,4384,4448,4464,4445,4386,4325,4282,4239,4187,4128,4081,4050
